"TIME","GEO","UNIT","SEX","AGE","ICD10","Value","Flag and Footnotes"
"2001","Slovenia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","9 654",""
"2001","Slovenia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","8 854",""
"2001","Slovakia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","51 980",""
"2001","Slovakia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","27 705",""
"2001","Slovakia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","24 275",""
"2001","Finland","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","48 504",""
"2001","Finland","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","23 760",""
"2001","Finland","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","24 744",""
"2001","Sweden","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","93 808",""
"2001","Sweden","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","45 467",""
"2001","Sweden","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","48 341",""
"2001","Iceland","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","1 725",""
"2001","Iceland","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","924",""
"2001","Iceland","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","801",""
"2001","Norway","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","43 977",""
"2001","Norway","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","21 634",""
"2001","Norway","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","22 343",""
"2001","Switzerland","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","61 228",""
"2001","Switzerland","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","29 873",""
"2001","Switzerland","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","31 355",""
"2001","United Kingdom","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","604 393",""
"2001","United Kingdom","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","287 939",""
"2001","United Kingdom","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","316 454",""
"2001","North Macedonia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","16 919",""
"2001","North Macedonia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","9 313",""
"2001","North Macedonia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","7 606",""
"2001","Albania","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","15 143",""
"2001","Albania","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","8 716",""
